Id;Latitude;Longitude;Cluster
0173a4cf-fa64-4c67-a07d-f82a13841c01;-7.10593;-34.83612;6
019a236a-57e1-420f-ac9a-dd0583a2d5a0;-7.1358895;-34.9662323;1
01bb8e73-1f74-4a3a-8013-c2ca3771ed6d;-7.3994157;-35.1086757;0
01cbcda4-9187-4c75-b25b-25debd43a783;-7.1597709;-34.8725256;6
01d4e677-9810-42fc-9ebf-b5f9936c8d96;-7.1764927;-34.858337;6
01d911a9-38c9-4eed-b7f9-189e822b6033;-7.1591835;-34.8177272;6
01dcf787-a4c0-4a7a-a623-a5743cf936e6;-7.1756109;-34.8306228;6
01dffd8e-cca5-4b56-b6df-c104350faa84;-7.0116918;-34.8303852;5
01e0da4e-0bea-4660-84da-9766272f545b;-7.11415;-34.88889;0
01e6d9a1-cc9f-4f8c-8d31-584f737ec7b2;-7.042173;-34.8402438;6
01f545b2-1c6b-4fc1-87a7-3a2ed6b7526d;-7.1024312;-34.835263;6
022099dd-9091-41aa-b3c4-6ff4da6f900b;-7.1298182;-34.8281466;6
022b1119-0d79-4a16-9424-e7edae6928d8;-7.1901318;-34.8528502;6
026a824c-e964-473a-af32-67fcfa42a837;-7.04349;-34.84127;6
027a678b-577e-45ca-b109-39f1652186cc;-7.163975;-34.9104348;6
029e287d-2c1f-4b0c-add4-8cbe25f0f7ff;-7.0699255;-34.837077;4
02bc972b-484f-4e03-9dab-fe5cdc5e90ef;-7.1431742;-34.8897529;3
02c3268b-614b-42a4-a2e9-aeec3b1b9653;-7.183466;-34.8644991;6
035222a6-3702-4e70-af29-9f4d14a6d9f8;-7.204875;-34.837601;6
0354164e-65ea-4a31-99ac-2a89ced1ace3;-7.1217368;-34.8516787;6
03564553-d1ea-4e01-9bc2-fcfa891f6274;-7.1014492;-34.8421834;6
037c83ed-50b0-42c8-aaee-acf7170f920f;-7.0860796;-34.8373155;4
03814313-3725-4737-af29-2195bd2ee738;-7.1969367;-34.8683801;6
0399a58b-0486-4300-813d-3cf78790231d;-7.08379;-34.83507;4
03a10b24-b8a0-4683-8cbb-986f3f974256;-7.2948963;-35.8794434;0
03a2e52a-6feb-4a19-a636-03104f54fcd0;-7.16558;-34.90101;0
03d7705f-5d90-4e06-9f37-cbc5ec77340f;-7.111982;-34.8389397;6
03dad8d2-e10c-4380-b1be-dababd3893f6;-7.195252;-34.850846;6
03e2a38d-287b-4a55-a09a-854443314d2a;-7.0415771;-34.8427772;6
03eb9695-a291-4813-bcec-36e124db40ca;-7.1208931;-34.8440067;6
03f10933-c7a2-4cfe-94d7-f53be9f2282d;-7.1162792;-34.8381927;6
042c3aaf-5438-4e75-bf82-8e08b26890c1;-7.071458;-34.8452782;4
04350de0-0a1e-4739-abf0-77939c3ca836;-7.139798;-34.981408;6
